feature,group,scope,n,wins,losses,net,expectancy,pf,win_rate,average_winner,average_loser,max_losing_streak,realized_balance_dd_pct,net_ex_top5
session,london,2026-08,33,19,14,25.66,0.7775757575757581,1.2587997982854262,0.5757575757575758,6.568947368421052,-7.082142857142857,4,0.6551873618118872,-14.74
session,new_york,ALL,53,26,27,2.31,0.043584905660377316,1.0113821138211383,0.49056603773584906,7.894615384615386,-7.516666666666667,4,0.8649065130475061,-47.44
session,new_york,BUY,30,16,14,16.26,0.5419999999999998,1.1446876668446342,0.5333333333333333,8.04,-8.027142857142858,3,0.6961795075774401,-32.48
session,new_york,SELL,23,10,13,-13.95,-0.6065217391304347,0.845975488572375,0.43478260869565216,7.661999999999999,-6.966923076923076,4,0.5962325766150219,-59.01
session,new_york,2026-06,19,8,11,-15.83,-0.833157894736842,0.8021497312835897,0.42105263157894735,8.0225,-7.273636363636364,4,0.6740801510642431,-61.89
session,new_york,2026-07,21,11,10,11.8,0.5619047619047618,1.146674953387197,0.5238095238095238,8.386363636363637,-8.045,3,0.5544832706928378,-35.91
session,new_york,2026-08,13,7,6,6.34,0.48769230769230787,1.1492115791951047,0.5384615384615384,6.975714285714287,-7.081666666666667,4,0.5564515968649476,-30.04
session,other,ALL,147,75,72,53.17,0.36170068027210894,1.0933494855858705,0.5102040816326531,8.303333333333335,-7.910833333333334,11,2.6824853895238934,-42.47
session,other,BUY,76,39,37,36.44,0.47947368421052655,1.1165595112433229,0.5131578947368421,8.95051282051282,-8.449459459459458,5,2.0964298068779565,-58.88
session,other,SELL,71,36,35,16.73,0.2356338028169016,1.0651099435687879,0.5070422535211268,7.602222222222222,-7.341428571428571,6,1.516651868942711,-32.1
session,other,2026-06,45,20,25,13.14,0.29200000000000015,1.0696343402225756,0.4444444444444444,10.092,-7.547999999999999,5,1.0904913747004137,-80.76
session,other,2026-07,54,25,29,-66.36,-1.2288888888888887,0.7456594227894677,0.46296296296296297,7.782,-8.996896551724136,11,2.3704691664869193,-115.82
session,other,2026-08,48,30,18,106.39,2.2164583333333336,1.8868050345919816,0.625,7.545333333333333,-6.665,3,0.45240915364535017,58.68
session,overlap,ALL,67,28,39,-65.78,-0.9817910447761188,0.7657240544198306,0.417910447761194,7.678571428571429,-7.199487179487178,9,1.8134000000000015,-114.2
session,overlap,BUY,31,14,17,-2.04,-0.0658064516129028,0.9823955816361755,0.45161290322580644,8.131428571428573,-6.816470588235294,4,0.5592000000000008,-50.38
session,overlap,SELL,36,14,22,-63.74,-1.7705555555555554,0.6134627046694967,0.3888888888888889,7.225714285714287,-7.495454545454544,7,1.7810468299726485,-108.9
session,overlap,2026-06,22,9,13,-21.4,-0.9727272727272722,0.7573421022791701,0.4090909090909091,7.421111111111112,-6.783846153846154,9,1.2421999999999935,-61.92
session,overlap,2026-07,25,11,14,-17.2,-0.6879999999999994,0.8349644981769335,0.44,7.910909090909092,-7.444285714285713,4,0.7918995195036896,-65.04
session,overlap,2026-08,20,8,12,-27.18,-1.3589999999999995,0.6924295575421524,0.4,7.64875,-7.364166666666667,5,1.0413999999999761,-70.64
weekday,0,ALL,81,41,40,9.95,0.1228395061728396,1.0326797385620916,0.5061728395061729,7.668780487804878,-7.611750000000001,6,1.5057999999999812,-40.5
weekday,0,BUY,52,29,23,36.69,0.7055769230769233,1.1988402341209625,0.5576923076923077,7.627931034482759,-8.022608695652172,4,1.1326000000000023,-12.69
weekday,0,SELL,29,12,17,-26.74,-0.9220689655172412,0.777073780741976,0.41379310344827586,7.767500000000001,-7.055882352941176,5,0.698959655417074,-74.38
weekday,0,2026-06,29,10,19,-59.72,-2.059310344827586,0.5680601764790975,0.3448275862068966,7.853999999999999,-7.276842105263158,6,1.4575999999999658,-105.7
weekday,0,2026-07,26,16,10,53.39,2.053461538461539,1.7112976285638157,0.6153846153846154,8.028125,-7.506,2,0.31140000000001233,4.14
weekday,0,2026-08,26,15,11,16.28,0.6261538461538462,1.1786066922654965,0.5769230769230769,7.162000000000001,-8.286363636363635,3,0.5770934033418095,-25.74
weekday,1,ALL,73,40,33,41.53,0.5689041095890415,1.1677640880630178,0.547945205479452,7.227000000000001,-7.501515151515151,5,0.992071744473694,-7.36
weekday,1,BUY,35,18,17,7.19,0.2054285714285722,1.0587370312882936,0.5142857142857142,7.199999999999999,-7.200588235294117,5,0.8645498561083372,-38.49
weekday,1,SELL,38,22,16,34.34,0.9036842105263161,1.2744126578232382,0.5789473684210527,7.249090909090911,-7.821249999999999,4,0.8784155402275722,-11.8
weekday,1,2026-06,31,18,13,31.83,1.0267741935483874,1.3444805194805196,0.5806451612903226,6.901666666666667,-7.107692307692308,3,0.47877872572732827,-10.43
weekday,1,2026-07,20,11,9,12.83,0.6415000000000002,1.1680419122462347,0.55,8.107272727272727,-8.483333333333333,5,0.9983656222594303,-34.1
weekday,1,2026-08,22,11,11,-3.13,-0.14227272727272675,0.960279187817259,0.5,6.879090909090909,-7.163636363636363,3,0.5758000000000174,-43.26
weekday,2,ALL,67,32,35,-41.95,-0.6261194029850744,0.8528947645264228,0.47761194029850745,7.600625000000001,-8.147714285714287,5,2.2572950260327045,-91.25
weekday,2,BUY,24,11,13,-41.67,-1.73625,0.6633815332417805,0.4583333333333333,7.465454545454545,-9.522307692307693,6,1.4402000000000226,-85.94
